1 | M | 33 | 服务员 | 海南 | 冰箱BCD-458WDVMU1 :: 洗衣机XQB55-M1269 :: 空调KFR-51LW |
2 | F | 52 | 研究院 | 四川 | 冰箱BCD-452WDPF :: 洗衣机EG10014B39GU1 :: 空调KFR-35GW |
3 | F | 64 | 码农 | 海南 | 冰箱BCD-258WDPM :: 洗衣机XQB55-M1269 ::  |
4 | F | 30 | 学生 | 海南 | 冰箱BCD-258WDPM :: 洗衣机TG80V20DG5 :: 空调KFR-35GW |
5 | M | 27 | 中介 | 山西 | 冰箱BCD-452WDPF :: 洗衣机EG8012B39SU1 ::  |
6 | F | 74 | 学生 | 北京 | 冰箱BCD-258WDPM :: 洗衣机XQB55-M1269 ::  |
7 | M | 68 | 科学家 | 海南 | 冰箱BCD-458WDVMU1 :: 洗衣机TG80V20DG5 ::  |
8 | F | 49 | 研究院 | 山西 | 冰箱BCD-655WKPZM :: 洗衣机TG80V20DG5 :: 空调KFR-35GW |
9 | M | 35 | 码农 | 吉林 | 冰箱BCD-458WDVMU1 ::  :: 空调KFR-26GW |
10 | F | 42 | 服务员 | 山东 | 冰箱BCD-458WDVMU1 ::  :: 空调KFR-51LW |
11 | M | 45 | 学生 | 山东 |  :: 洗衣机EG8012B39SU1 :: 空调KFR-51LW |
12 | F | 47 | 码农 | 内蒙 | 冰箱BCD-655WKPZM :: 洗衣机TG80V20DG5 :: 空调KFR-26GW |
13 | M | 46 | 学生 | 四川 | 冰箱BCD-610W :: 洗衣机XQB55-M1269 :: 空调KFR-26GW |
14 | M | 71 | 学生 | 四川 | 冰箱BCD-258WDPM :: 洗衣机XQB55-M1269 :: 空调KFR-72LW |
15 | M | 21 | 研究院 | 四川 | 冰箱BCD-458WDVMU1 :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-26GW |
16 | F | 73 | 科学家 | 安徽 |  :: 洗衣机XQB55-M1269 ::  |
17 | M | 71 | 科学家 | 海南 |  :: 洗衣机XQB55-M1269 :: 空调KFR-35GW |
18 | M | 32 | 科学家 | 山西 | 冰箱BCD-655WKPZM :: 洗衣机XQB55-M1269 ::  |
19 | F | 39 | 研究院 | 四川 | 冰箱BCD-610W :: 洗衣机EG8012B39SU1 :: 空调KFR-35GW |
20 | M | 25 | 白领 | 河北 | 冰箱BCD-458WDVMU1 :: 洗衣机TG80V20DG5 :: 空调KFR-26GW |
21 | M | 42 | 码农 | 山东 | 冰箱BCD-655WKPZM :: 洗衣机EG10014B39GU1 :: 空调KFR-35GW |
22 | F | 45 | 学生 | 山东 | 冰箱BCD-610W :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-51LW |
23 | F | 34 | 教师 | 广西 | 冰箱BCD-258WDPM :: 洗衣机EG10014B39GU1 ::  |
24 | F | 46 | 码农 | 安徽 | 冰箱BCD-458WDVMU1 :: 洗衣机TG80V20DG5 :: 空调KFR-72LW |
25 | F | 54 | 服务员 | 广西 | 冰箱BCD-610W :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-72LW |
26 | F | 50 | 教师 | 山西 |  :: 洗衣机XQG80-WM12L2E88W ::  |
27 | M | 45 | 科学家 | 河北 |  :: 洗衣机EG8012B39SU1 ::  |
28 | M | 52 | 学生 | 安徽 | 冰箱BCD-258WDPM :: 洗衣机XQB55-M1269 :: 空调KFR-51LW |
29 | M | 50 | 白领 | 山西 | 冰箱BCD-610W :: 洗衣机EG8012B39SU1 :: 空调KFR-26GW |
30 | M | 22 | 服务员 | 广西 | 冰箱BCD-258WDPM :: 洗衣机EG8012B39SU1 :: 空调KFR-72LW |
31 | F | 44 | 中介 | 安徽 |  :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-35GW |
32 | F | 43 | 科学家 | 海南 | 冰箱BCD-258WDPM :: 洗衣机XQB55-M1269 :: 空调KFR-51LW |
33 | M | 75 | 教师 | 山东 |  :: 洗衣机TG80V20DG5 :: 空调KFR-26GW |
34 | F | 48 | 学生 | 云南 | 冰箱BCD-452WDPF :: 洗衣机TG80V20DG5 ::  |
35 | F | 29 | 教师 | 山东 | 冰箱BCD-452WDPF :: 洗衣机EG10014B39GU1 :: 空调KFR-26GW |
36 | F | 69 | 教师 | 内蒙 | 冰箱BCD-452WDPF :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-35GW |
37 | F | 67 | 服务员 | 广西 | 冰箱BCD-258WDPM :: 洗衣机TG80V20DG5 :: 空调KFR-72LW |
38 | M | 54 | 研究院 | 海南 | 冰箱BCD-458WDVMU1 :: 洗衣机TG80V20DG5 :: 空调KFR-72LW |
39 | M | 56 | 科学家 | 广西 | 冰箱BCD-452WDPF :: 洗衣机XQB55-M1269 :: 空调KFR-72LW |
40 | F | 31 | 科学家 | 安徽 |  :: 洗衣机EG10014B39GU1 :: 空调KFR-26GW |
41 | F | 54 | 码农 | 山东 | 冰箱BCD-655WKPZM ::  ::  |
42 | M | 21 | 中介 | 北京 | 冰箱BCD-258WDPM :: 洗衣机EG10014B39GU1 :: 空调KFR-26GW |
43 | F | 69 | 研究院 | 吉林 | 冰箱BCD-610W :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-26GW |
44 | F | 65 | 教师 | 北京 | 冰箱BCD-655WKPZM :: 洗衣机EG10014B39GU1 :: 空调KFR-72LW |
45 | M | 58 | 研究院 | 山东 | 冰箱BCD-452WDPF :: 洗衣机XQG80-WM12L2E88W ::  |
46 | F | 62 | 教师 | 河北 |  :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-72LW |
47 | M | 75 | 服务员 | 海南 | 冰箱BCD-610W ::  :: 空调KFR-26GW |
48 | F | 23 | 科学家 | 山西 | 冰箱BCD-458WDVMU1 :: 洗衣机XQB55-M1269 :: 空调KFR-35GW |
49 | F | 68 | 科学家 | 河北 | 冰箱BCD-452WDPF ::  :: 空调KFR-51LW |
50 | F | 70 | 码农 | 云南 |  :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-72LW |
51 | M | 37 | 学生 | 广西 | 冰箱BCD-655WKPZM :: 洗衣机TG80V20DG5 :: 空调KFR-72LW |
52 | M | 38 | 码农 | 安徽 | 冰箱BCD-655WKPZM :: 洗衣机EG8012B39SU1 :: 空调KFR-72LW |
53 | F | 56 | 教师 | 四川 | 冰箱BCD-452WDPF :: 洗衣机EG8012B39SU1 :: 空调KFR-51LW |
54 | M | 51 | 中介 | 海南 | 冰箱BCD-458WDVMU1 :: 洗衣机XQB55-M1269 :: 空调KFR-26GW |
55 | M | 18 | 服务员 | 内蒙 | 冰箱BCD-655WKPZM :: 洗衣机TG80V20DG5 ::  |
56 | M | 61 | 码农 | 山西 |  :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-26GW |
57 | M | 34 | 服务员 | 四川 | 冰箱BCD-655WKPZM :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-35GW |
58 | F | 51 | 教师 | 海南 | 冰箱BCD-655WKPZM :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-26GW |
59 | M | 70 | 科学家 | 海南 | 冰箱BCD-610W :: 洗衣机EG10014B39GU1 :: 空调KFR-26GW |
60 | M | 43 | 中介 | 河北 | 冰箱BCD-258WDPM :: 洗衣机EG10014B39GU1 :: 空调KFR-35GW |
61 | M | 56 | 服务员 | 四川 |  :: 洗衣机EG8012B39SU1 :: 空调KFR-72LW |
62 | M | 33 | 学生 | 山东 | 冰箱BCD-655WKPZM :: 洗衣机XQB55-M1269 ::  |
63 | F | 65 | 码农 | 吉林 |  :: 洗衣机EG10014B39GU1 :: 空调KFR-26GW |
64 | M | 62 | 中介 | 海南 | 冰箱BCD-610W :: 洗衣机XQG80-WM12L2E88W ::  |
65 | F | 56 | 中介 | 云南 |  :: 洗衣机EG10014B39GU1 :: 空调KFR-26GW |
66 | M | 21 | 服务员 | 吉林 | 冰箱BCD-655WKPZM :: 洗衣机EG8012B39SU1 :: 空调KFR-35GW |
67 | M | 57 | 教师 | 内蒙 | 冰箱BCD-258WDPM :: 洗衣机EG10014B39GU1 :: 空调KFR-72LW |
68 | F | 32 | 码农 | 安徽 | 冰箱BCD-258WDPM :: 洗衣机EG8012B39SU1 :: 空调KFR-26GW |
69 | F | 28 | 科学家 | 广西 |  :: 洗衣机XQB55-M1269 ::  |
70 | M | 38 | 教师 | 北京 | 冰箱BCD-655WKPZM :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-51LW |
71 | M | 26 | 中介 | 四川 | 冰箱BCD-452WDPF ::  :: 空调KFR-51LW |
72 | F | 56 | 服务员 | 海南 | 冰箱BCD-258WDPM :: 洗衣机XQB55-M1269 ::  |
73 | M | 44 | 研究院 | 广西 | 冰箱BCD-458WDVMU1 :: 洗衣机XQB55-M1269 :: 空调KFR-51LW |
74 | M | 41 | 中介 | 山西 | 冰箱BCD-258WDPM ::  :: 空调KFR-26GW |
75 | F | 36 | 白领 | 山东 | 冰箱BCD-452WDPF :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-26GW |
76 | M | 44 | 研究院 | 山东 | 冰箱BCD-610W :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-26GW |
77 | M | 56 | 码农 | 山东 | 冰箱BCD-258WDPM :: 洗衣机XQB55-M1269 :: 空调KFR-26GW |
78 | M | 66 | 中介 | 安徽 | 冰箱BCD-610W :: 洗衣机EG8012B39SU1 :: 空调KFR-51LW |
79 | F | 61 | 学生 | 安徽 |  :: 洗衣机EG8012B39SU1 :: 空调KFR-26GW |
80 | M | 34 | 中介 | 山西 | 冰箱BCD-258WDPM :: 洗衣机EG10014B39GU1 :: 空调KFR-35GW |
81 | F | 34 | 教师 | 云南 | 冰箱BCD-458WDVMU1 :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-72LW |
82 | F | 51 | 白领 | 云南 | 冰箱BCD-655WKPZM ::  ::  |
83 | F | 20 | 中介 | 山西 | 冰箱BCD-452WDPF :: 洗衣机EG8012B39SU1 :: 空调KFR-35GW |
84 | F | 40 | 码农 | 云南 | 冰箱BCD-655WKPZM :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-51LW |
85 | M | 25 | 白领 | 吉林 | 冰箱BCD-452WDPF :: 洗衣机XQG80-WM12L2E88W ::  |
86 | M | 30 | 码农 | 河北 | 冰箱BCD-452WDPF :: 洗衣机EG8012B39SU1 ::  |
87 | M | 58 | 科学家 | 云南 |  :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-35GW |
88 | F | 50 | 科学家 | 河北 | 冰箱BCD-610W :: 洗衣机XQB55-M1269 ::  |
89 | F | 56 | 中介 | 山西 | 冰箱BCD-610W :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-72LW |
90 | F | 68 | 中介 | 海南 |  :: 洗衣机EG8012B39SU1 :: 空调KFR-51LW |
91 | F | 49 | 码农 | 安徽 | 冰箱BCD-258WDPM :: 洗衣机EG10014B39GU1 :: 空调KFR-26GW |
92 | M | 72 | 中介 | 海南 | 冰箱BCD-655WKPZM :: 洗衣机EG10014B39GU1 :: 空调KFR-26GW |
93 | F | 60 | 白领 | 云南 | 冰箱BCD-610W :: 洗衣机EG8012B39SU1 :: 空调KFR-72LW |
94 | M | 56 | 白领 | 吉林 |  ::  ::  |
95 | F | 19 | 学生 | 山西 | 冰箱BCD-458WDVMU1 ::  ::  |
96 | M | 21 | 码农 | 吉林 | 冰箱BCD-458WDVMU1 ::  ::  |
97 | F | 36 | 学生 | 山西 | 冰箱BCD-258WDPM :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-51LW |
98 | M | 52 | 码农 | 吉林 | 冰箱BCD-610W :: 洗衣机XQB55-M1269 :: 空调KFR-26GW |
99 | M | 55 | 中介 | 海南 | 冰箱BCD-258WDPM :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-26GW |
100 | M | 64 | 教师 | 内蒙 | 冰箱BCD-655WKPZM :: 洗衣机EG10014B39GU1 ::  |
